vehicle_id,model_name,drivetrain_type,chart_type,cost_component,value
BEV005,MB eActros 300,BEV,with_infra,Insurance (PV),166074.5286108896
BEV005,MB eActros 300,BEV,with_infra,Taxes & Fees (PV),18777.91669893193
BEV005,MB eActros 300,BEV,with_infra,Payload/Charging Penalties (NPV),159801.32278406408
BEV005,MB eActros 300,BEV,with_infra,Infrastructure,300000.0
BEV005,MB eActros 300,BEV,with_infra,Final TCO (NPV),1098484.558136912
BEV006,MB eActros 600,BEV,no_infra,Asset Cost,618000.0
BEV006,MB eActros 600,BEV,no_infra,Residual Value (PV),-57124.630936417896
BEV006,MB eActros 600,BEV,no_infra,Fuel (NPV),366581.2154771577
BEV006,MB eActros 600,BEV,no_infra,Maintenance (NPV),178153.27239708614
BEV006,MB eActros 600,BEV,no_infra,Insurance (PV),238732.13487815383
BEV006,MB eActros 600,BEV,no_infra,Taxes & Fees (PV),89329.01003837708
BEV006,MB eActros 600,BEV,no_infra,Payload/Charging Penalties (NPV),628644.5080653094
BEV006,MB eActros 600,BEV,no_infra,Final TCO (NPV),2062315.5099196665
BEV006,MB eActros 600,BEV,with_infra,Asset Cost,618000.0
BEV006,MB eActros 600,BEV,with_infra,Residual Value (PV),-57124.630936417896
BEV006,MB eActros 600,BEV,with_infra,Fuel (NPV),366581.2154771577
BEV006,MB eActros 600,BEV,with_infra,Maintenance (NPV),178153.27239708614
BEV006,MB eActros 600,BEV,with_infra,Insurance (PV),238732.13487815383
BEV006,MB eActros 600,BEV,with_infra,Taxes & Fees (PV),89329.01003837708
BEV006,MB eActros 600,BEV,with_infra,Payload/Charging Penalties (NPV),628644.5080653094
BEV006,MB eActros 600,BEV,with_infra,Infrastructure,300000.0
BEV006,MB eActros 600,BEV,with_infra,Final TCO (NPV),2362315.5099196667
BEV007,Volvo FH,BEV,no_infra,Asset Cost,463500.0
BEV007,Volvo FH,BEV,no_infra,Residual Value (PV),-42843.47320231341
BEV007,Volvo FH,BEV,no_infra,Fuel (NPV),366581.2154771577
BEV007,Volvo FH,BEV,no_infra,Maintenance (NPV),178153.27239708614
BEV007,Volvo FH,BEV,no_infra,Insurance (PV),184238.93017770562
BEV007,Volvo FH,BEV,no_infra,Taxes & Fees (PV),84829.01003837708
BEV007,Volvo FH,BEV,no_infra,Payload/Charging Penalties (NPV),628644.5080653094
BEV007,Volvo FH,BEV,no_infra,Final TCO (NPV),1863103.4629533226
BEV007,Volvo FH,BEV,with_infra,Asset Cost,463500.0
BEV007,Volvo FH,BEV,with_infra,Residual Value (PV),-42843.47320231341
BEV007,Volvo FH,BEV,with_infra,Fuel (NPV),366581.2154771577
BEV007,Volvo FH,BEV,with_infra,Maintenance (NPV),178153.27239708614
BEV007,Volvo FH,BEV,with_infra,Insurance (PV),184238.93017770562
BEV007,Volvo FH,BEV,with_infra,Taxes & Fees (PV),84829.01003837708
BEV007,Volvo FH,BEV,with_infra,Payload/Charging Penalties (NPV),628644.5080653094
BEV007,Volvo FH,BEV,with_infra,Infrastructure,300000.0
BEV007,Volvo FH,BEV,with_infra,Final TCO (NPV),2163103.4629533226
BEV008,Scania 45R,BEV,no_infra,Asset Cost,329600.0
BEV008,Scania 45R,BEV,no_infra,Residual Value (PV),-30466.469832756204
BEV008,Scania 45R,BEV,no_infra,Fuel (NPV),366581.2154771577
BEV008,Scania 45R,BEV,no_infra,Maintenance (NPV),178153.27239708614
BEV008,Scania 45R,BEV,no_infra,Insurance (PV),137011.48610398392
BEV008,Scania 45R,BEV,no_infra,Taxes & Fees (PV),80929.01003837708
BEV008,Scania 45R,BEV,no_infra,Payload/Charging Penalties (NPV),628644.5080653094
BEV008,Scania 45R,BEV,no_infra,Final TCO (NPV),1690453.022249158
BEV008,Scania 45R,BEV,with_infra,Asset Cost,329600.0
BEV008,Scania 45R,BEV,with_infra,Residual Value (PV),-30466.469832756204
BEV008,Scania 45R,BEV,with_infra,Fuel (NPV),366581.2154771577
BEV008,Scania 45R,BEV,with_infra,Maintenance (NPV),178153.27239708614
BEV008,Scania 45R,BEV,with_infra,Insurance (PV),137011.48610398392
BEV008,Scania 45R,BEV,with_infra,Taxes & Fees (PV),80929.01003837708
BEV008,Scania 45R,BEV,with_infra,Payload/Charging Penalties (NPV),628644.5080653094
BEV008,Scania 45R,BEV,with_infra,Infrastructure,300000.0
BEV008,Scania 45R,BEV,with_infra,Final TCO (NPV),1990453.022249158
DSL001,Hino 300,Diesel,diesel,Asset Cost,82400.0
DSL001,Hino 300,Diesel,diesel,Residual Value (PV),-7616.617458189051
DSL001,Hino 300,Diesel,diesel,Fuel (NPV),162623.27558076047
DSL001,Hino 300,Diesel,diesel,Maintenance (NPV),46212.690960146414
DSL001,Hino 300,Diesel,diesel,Insurance (PV),46916.05433257631
DSL001,Hino 300,Diesel,diesel,Taxes & Fees (PV),9177.916698931931
DSL001,Hino 300,Diesel,diesel,Payload/Charging Penalties (NPV),0.0
DSL001,Hino 300,Diesel,diesel,Final TCO (NPV),339713.3201142261
DSL002,Hyundai Mighty,Diesel,diesel,Asset Cost,77250.0
DSL002,Hyundai Mighty,Diesel,diesel,Residual Value (PV),-7140.578867052237
DSL002,Hyundai Mighty,Diesel,diesel,Fuel (NPV),162623.27558076047
DSL002,Hyundai Mighty,Diesel,diesel,Maintenance (NPV),46212.690960146414
DSL002,Hyundai Mighty,Diesel,diesel,Insurance (PV),45281.25819156286
DSL002,Hyundai Mighty,Diesel,diesel,Taxes & Fees (PV),9027.916698931931
DSL002,Hyundai Mighty,Diesel,diesel,Payload/Charging Penalties (NPV),0.0
DSL002,Hyundai Mighty,Diesel,diesel,Final TCO (NPV),333254.56256434944
DSL003,Hino 500,Diesel,diesel,Asset Cost,133900.0
DSL003,Hino 500,Diesel,diesel,Residual Value (PV),-12377.00336955721
DSL003,Hino 500,Diesel,diesel,Fuel (NPV),162623.27558076047
DSL003,Hino 500,Diesel,diesel,Maintenance (NPV),46212.690960146414
DSL003,Hino 500,Diesel,diesel,Insurance (PV),63264.015742710755
DSL003,Hino 500,Diesel,diesel,Taxes & Fees (PV),10677.916698931931
DSL003,Hino 500,Diesel,diesel,Payload/Charging Penalties (NPV),0.0
DSL003,Hino 500,Diesel,diesel,Final TCO (NPV),404300.89561299235
DSL004,Volvo FE,Diesel,diesel,Asset Cost,226600.0
DSL004,Volvo FE,Diesel,diesel,Residual Value (PV),-20945.698010019896
