vehicle_id,model_name,drivetrain_type,weight_class,comparison_pair_id,comparison_pair_name,total_tco_npv,annual_tco,cost_per_km_total,cost_km_capital,cost_km_fuel,cost_km_maintenance,cost_km_insurance,cost_km_registration,cost_km_carbon,cost_km_battery,cost_km_penalties
BEV001,Jac N75,BEV,Light Rigid,DSL001,Hino 300,341436.0296489528,32894.72816859789,1.4302055725477343,0.7076989052190688,0.10005178028095513,0.10754194115167996,0.3555434782608696,0.028391304347826087,0.0,0.019415663287334507,0.1115624999999999
BEV002,Hyundai Mighty Electric,BEV,Light Rigid,DSL002,Hyundai Mighty,279669.78750317125,26944.027103246768,1.1714794392715986,0.6014438287980753,0.10005178028095513,0.10754194115167996,0.31521739130434784,0.028391304347826087,0.0,0.018833193388714472,0.0
BEV003,Jac N90,BEV,Light Rigid,DSL003,Hino 500,339869.4192967508,32743.79734347442,1.4236433627597573,0.6014438287980753,0.1271491374403805,0.10754194115167996,0.31521739130434784,0.028391304347826087,0.0,0.02077475971744792,0.2231249999999998
BEV004,Volvo FL,BEV,Medium Rigid,DSL004,Volvo FE,463691.4469640859,44673.09474536063,1.9423084671895925,0.8019251050641008,0.22720091772133572,0.10754194115167996,0.391304347826087,0.028391304347826087,0.0,0.05125735107856308,0.33468749999999975
BEV005,MB eActros 300,BEV,Medium Rigid,DSL005,MB Actros,811032.3097453184,78136.7080458732,3.39724817590753,1.6038502101282015,0.22720091772133572,0.10754194115167996,0.6956521739130435,0.028391304347826087,0.0,0.06523662864544394,0.6693749999999995
BEV006,MB eActros 600,BEV,Articulated,DSL006,MB Actros,2086560.2543458685,201023.98813820764,2.3931427159310434,0.658724193445511,0.4204437249243653,0.20432968818819192,0.27380952380952384,0.0818095238095238,0.0,0.033013561753928417,0.7210124999999994
BEV007,Volvo FH,BEV,Articulated,DSL007,Volvo FH,1884728.6147623705,181579.06626880894,2.161655550819154,0.49404314508413344,0.4204437249243653,0.20432968818819192,0.2113095238095238,0.0818095238095238,0.0,0.028707445003416016,0.7210124999999994
BEV008,Scania 45R,BEV,Articulated,DSL008,Scania R560,1716955.250572022,165415.39656281192,1.9692309114620465,0.351319569837606,0.4204437249243653,0.20432968818819192,0.15714285714285714,0.0818095238095238,0.0,0.033173047559502955,0.7210124999999994
DSL001,Hino 300,Diesel,Light Rigid,BEV001,Jac N75,339108.0545101513,32670.4457182283,1.4204541616621,0.32077004202564025,0.681195582085175,0.19357549407302393,0.19652173913043477,0.028391304347826087,0.0,0.0,0.0
DSL002,Hyundai Mighty,Diesel,Light Rigid,BEV002,Hyundai Mighty Electric,332687.1260605294,32051.838782816445,1.3935582079485411,0.30072191439903767,0.681195582085175,0.19357549407302393,0.18967391304347825,0.028391304347826087,0.0,0.0,0.0
DSL003,Hino 500,Diesel,Light Rigid,BEV003,Jac N90,403317.339006371,38856.51507234689,1.6894136987976909,0.5212513182916656,0.681195582085175,0.19357549407302393,0.265,0.028391304347826087,0.0,0.0,0.0
DSL004,Volvo FE,Diesel,Medium Rigid,BEV004,Volvo FL,542125.9476111033,52229.65396518304,2.2708545202253494,0.8821176155705104,0.7785092366687714,0.19357549407302393,0.3882608695652174,0.028391304347826087,0.0,0.0,0.0
DSL005,MB Actros,Diesel,Medium Rigid,BEV005,MB eActros 300,606335.232107323,58415.72331930163,2.5398140573609402,1.0825988918365361,0.7785092366687714,0.19357549407302393,0.4567391304347826,0.028391304347826087,0.0,0.0,0.0
DSL006,MB Actros,Diesel,Articulated,BEV006,MB eActros 600,1443770.7328916707,139096.1751900588,1.6559068475007,0.2964258870504801,0.8514944776064685,0.3011174352247039,0.12505952380952381,0.0818095238095238,0.0,0.0,0.0
DSL007,Volvo FH,Diesel,Articulated,BEV007,Volvo FH,1456612.5897909144,140333.3890608825,1.670635584058125,0.3074046236079052,0.8514944776064685,0.3011174352247039,0.12880952380952382,0.0818095238095238,0.0,0.0,0.0
DSL008,Scania R560,Diesel,Articulated,BEV008,Scania 45R,1482296.3035894022,142807.81680252994,1.7000930571729755,0.3293620967227555,0.8514944776064685,0.3011174352247039,0.1363095238095238,0.0818095238095238,0.0,0.0,0.0
AVG_Articulated_BEV,Average Articulated BEV,BEV,Articulated,,,1896081.3732267537,182672.81698994283,2.1746763927374144,0.5013623027890834,0.4204437249243653,0.2043296881881919,0.2140873015873016,0.0818095238095238,0.0,0.03163135143894913,0.7210124999999993
AVG_Articulated_Diesel,Average Articulated Diesel,Diesel,Articulated,,,1460893.208757329,140745.7936844904,1.6755451629106002,0.3110642024603803,0.8514944776064685,0.3011174352247039,0.1300595238095238,0.0818095238095238,0.0,0.0,0.0
AVG_Light_Rigid_BEV,Average Light Rigid BEV,BEV,Light Rigid,,,320325.07881629164,30860.850871773026,1.3417761248596969,0.6368621876050731,0.10908423266743024,0.10754194115167996,0.3286594202898551,0.02839130434782609,0.0,0.019674538797832302,0.1115624999999999
AVG_Light_Rigid_Diesel,Average Light Rigid Diesel,Diesel,Light Rigid,,,358370.8398590172,34526.266524463885,1.5011420228027774,0.38091442490544786,0.681195582085175,0.19357549407302396,0.21706521739130435,0.02839130434782609,0.0,0.0,0.0
AVG_Medium_Rigid_BEV,Average Medium Rigid BEV,BEV,Medium Rigid,,,637361.8783547021,61404.90139561691,2.669778321548561,1.2028876575961511,0.22720091772133572,0.10754194115167996,0.5434782608695652,0.028391304347826087,0.0,0.05824698986200351,0.5020312499999996
